Day,Time,Neutral,Happy,Sad,Angry,Fear
Mon,9,0.567295052,3.83E-05,0.429460856,0.003205001,7.58E-07
Mon,15,0.554118202,2.91E-05,0.441517273,0.004334999,4.41E-07
Mon,21,0.561410548,0.00032268,0.434661623,0.003571213,3.39E-05
Tue,9,0.843712389,0.000290377,0.153829331,0.002151985,1.59E-05
Tue,15,0.932118365,5.80E-06,0.067769779,9.96E-05,6.47E-06
Tue,21,0.541183777,0.000443649,0.44932101,0.009050978,5.86E-07
Wed,9,0.228412661,0.000780335,0.765620401,0.005185918,6.85E-07
Wed,15,0.269413113,0.001759318,0.719775936,0.009034569,1.71E-05
Wed,21,0.948169412,9.32E-06,0.05165822,9.11E-05,7.20E-05
Thu,9,0.888856738,2.99E-06,0.111096935,2.42E-05,1.91E-05
Thu,15,0.729451266,7.29E-05,0.268537514,0.001932182,6.14E-06
Thu,21,0.962164181,0.000144209,0.036230482,0.000953762,0.000507366
Fri,9,0.691461975,0.037065703,0.253467492,0.017665281,0.000339548
Fri,15,0.936573669,3.25E-05,0.063319371,5.55E-05,1.90E-05
Fri,21,0.681424334,0.003032088,0.314759164,0.000760157,2.43E-05
Sat,9,0.074696637,0.0500931,0.757712212,0.117492323,5.73E-06
Sat,15,0.954802117,1.22E-06,0.045170391,2.39E-05,2.35E-06
Sat,21,0.889198543,0.001370945,0.105351882,0.003186205,0.000892424
Sun,9,0.608719397,0.002012442,0.383249326,0.005987462,3.14E-05
Sun,15,0.864124539,0.000134063,0.134690006,0.001027092,2.43E-05
Sun,21,0.887532516,0.001793671,0.108458825,0.001846068,0.00036892
Mon,9,0.736862466,0.001004855,0.260299603,0.001813216,1.99E-05
Mon,15,0.957160551,0.000122721,0.041677063,0.000555302,0.000484362
Mon,21,0.392683885,0.075333567,0.285495009,0.246424398,6.31E-05
Tue,9,0.272603436,0.00569537,0.699081141,0.022593975,2.61E-05
Tue,15,0.801824941,0.001937507,0.174152756,0.021823676,0.000261119
Tue,21,0.951366626,0.00019452,0.047731307,0.00043766,0.000269887
Wed,9,0.982727557,6.75E-06,0.017137286,5.71E-05,7.13E-05
Wed,15,0.786808882,0.00203118,0.205688716,0.004463528,0.001007694
Wed,21,0.977679676,1.92E-06,0.022196824,4.87E-05,7.28E-05
