ID,Day,Time,Fc_Sentiment,Fc_Happy,Fc_Stressed,Sp_Sentiment,Sp_Happy,Sp_Stressed,Tr_Sentiment,Tr_Happy,Tr_Stressed
1,Sun,Morning,N.A,0,0,0,0,0,0,0,0
2,Mon,Morning,Stressed,0.03,3.83,Stressed,3.83E-05,0.429460856,Stressed,0.036,0.808
3,Tue,Morning,Happy,5.77,0.34,Stressed,0.000290377,0.153829331,Stressed,0.004,0.958
4,Wed,Morning,Happy,5.64,0.72,Stressed,0.000780335,0.765620401,Happy,0.613,0.094
5,Thu,Morning,Happy,5.23,1.36,Stressed,2.99E-06,0.111096935,Happy,0.796,0.055
6,Fri,Morning,Happy,5.12,1.62,Stressed,0.037065703,0.253467492,Stressed,0.016,0.826
7,Sat,Morning,Happy,5.04,1.43,Stressed,0.0500931,0.757712212,Happy,0.827,0.045
8,Sun,Morning,Happy,5.56,0.43,Stressed,0.002012442,0.383249326,Happy,0.767,0.077
9,Mon,Morning,Stressed,3.42,3.63,Stressed,0.001004855,0.260299603,Stressed,0.007,0.935
10,Tue,Morning,Happy,4.86,1.72,Stressed,0.00569537,0.699081141,Happy,0.652,0.106
11,Wed,Morning,Stressed,0,4.37,Stressed,6.75E-06,0.017137286,Stressed,0.01,0.947
1,Sun,Afternoon,N.A,0,0,0,0,0,0,0,0
2,Mon,Afternoon,Stressed,0.14,4.72,Stressed,2.91E-05,0.441517273,Stressed,0.024,0.844
3,Tue,Afternoon,Happy,5.07,1.17,Stressed,5.80E-06,0.067769779,Happy,0.543,0.17
4,Wed,Afternoon,Happy,5.76,0.94,Stressed,0.001759318,0.719775936,Happy,0.873,0.017
5,Thu,Afternoon,Stressed,0,4.31,Stressed,7.29E-05,0.268537514,Stressed,0.001,0.991
6,Fri,Afternoon,Stressed,0.73,4.68,Stressed,3.25E-05,0.063319371,Stressed,0.008,0.909
7,Sat,Afternoon,Happy,5.72,1.02,Stressed,1.22E-06,0.045170391,Happy,0.709,0.059
8,Sun,Afternoon,Happy,5.77,0.86,Stressed,0.000134063,0.134690006,Happy,0.724,0.047
9,Mon,Afternoon,Stressed,0.24,0.68,Stressed,0.000122721,0.041677063,Stressed,0.013,0.829
10,Tue,Afternoon,Happy,6.06,0,Stressed,0.001937507,0.174152756,Happy,0.766,0.051
11,Wed,Afternoon,Stressed,0.58,3.78,Stressed,0.00203118,0.205688716,Stressed,0.024,0.743
1,Sun,Night,N.A,0,0,0,0,0,0,0,0
2,Mon,Night,Stressed,0,2.73,Stressed,0.00032268,0.434661623,Stressed,0.052,0.7
3,Tue,Night,Stressed,0,2.13,Stressed,0.000443649,0.44932101,Stressed,0.194,0.437
4,Wed,Night,Stressed,0.57,5.3,Stressed,9.32E-06,0.05165822,Stressed,0.007,0.938
5,Thu,Night,Stressed,0.4,4.45,Stressed,0.000144209,0.036230482,Stressed,0.061,0.662
6,Fri,Night,Stressed,0.42,3.24,Stressed,0.003032088,0.314759164,Happy,0.843,0.02
7,Sat,Night,Happy,5.04,0.78,Stressed,0.001370945,0.105351882,Happy,0.768,0.035
8,Sun,Night,Happy,5.53,0.74,Stressed,0.001793671,0.108458825,Happy,0.745,0.044
9,Mon,Night,Stressed,0,2.04,Stressed,0.075333567,0.285495009,Happy,0.512,0.129
10,Tue,Night,Stressed,0.09,4.02,Stressed,0.00019452,0.047731307,Stressed,0.141,0.598
11,Wed,Night,Stressed,0.25,0.57,Stressed,1.92E-06,0.022196824,Stressed,0.024,0.763
