ID,Day,Time,Fc_Sentiment,Fc_Happy,Fc_Stressed,Sp_Sentiment,Sp_Happy,Sp_Stressed,Tr_Sentiment,Tr_Happy,Tr_Stressed
1,Sun,Morning,Happy,3.34,0.59,Happy,0.826828868,0.060431446,Happy,0.819,0.042
2,Mon,Morning,Happy,4.22,0.66,Stressed,0.06021205,0.593600796,Stressed,0.002,0.97
3,Tue,Morning,Stressed,0,0.38,Happy,0.718537364,0.076790412,Happy,0.936,0.008
4,Wed,Morning,Stressed,0,0.36,Stressed,0.28008603,0.181337853,Stressed,0.005,0.944
5,Thu,Morning,Happy,2.44,1.92,Stressed,0.029314702,0.131736545,Happy,0.887,0.015
6,Fri,Morning,Happy,3.55,1.06,Stressed,0.131144872,0.672310041,Stressed,0,0.993
7,Sat,Morning,Happy,0.02,0,Stressed,0.023859813,0.891184063,Stressed,0.018,0.792
8,Sun,Morning,Stressed,0.16,0.16,Happy,0.777730301,0.104584051,Happy,0.918,0.015
9,Mon,Morning,Stressed,0,0.07,Stressed,0.394507225,0.520604891,Happy,0.866,0.015
10,Tue,Morning,Happy,3.5,0,Stressed,0.250710973,0.501154709,Happy,0.71,0.123
11,Wed,Morning,N.A,0,0,0,0,0,0,0,0
1,Sun,Afternoon,Stressed,0.07,2.77,Stressed,0.239768638,0.455365055,Stressed,0.004,0.961
2,Mon,Afternoon,Happy,2.69,1.49,Stressed,0.06021205,0.593600796,Happy,0.889,0.017
3,Tue,Afternoon,Happy,0.35,0,Stressed,0.107263734,0.615063302,Stressed,0.001,0.989
4,Wed,Afternoon,Stressed,0.18,0.7,Happy,0.396868818,0.133440221,Happy,0.705,0.044
5,Thu,Afternoon,Happy,5.13,0.41,Stressed,0.32879139,0.505267081,Happy,0.859,0.025
6,Fri,Afternoon,Happy,3.02,0.8,Stressed,0.14534386,0.585722405,Stressed,0.005,0.96
7,Sat,Afternoon,Happy,2.45,0.18,Stressed,0.162527189,0.658191208,Happy,0.702,0.046
8,Sun,Afternoon,Stressed,0,0.56,Stressed,0.359971982,0.452856801,Happy,0.699,0.067
9,Mon,Afternoon,Happy,2.74,0.96,Stressed,0.120303078,0.638795748,Stressed,0.002,0.977
10,Tue,Afternoon,Happy,0.51,0.03,Stressed,0.047733676,0.758700147,Stressed,0.015,0.849
11,Wed,Afternoon,N.A,0,0,0,0,0,0,0,0
1,Sun,Night,Happy,3.06,1.16,Stressed,0.295693944,0.15703959,Stressed,0.004,0.954
2,Mon,Night,Happy,2.28,1.32,Stressed,0.184181222,0.333916151,Happy,0.906,0.014
3,Tue,Night,Happy,0.26,0,Stressed,0.097051391,0.336260843,Stressed,0.006,0.953
4,Wed,Night,Stressed,0,0.84,Stressed,0.131328313,0.404217917,Happy,0.715,0.059
5,Thu,Night,Happy,7.73,0,Stressed,0.001874097,0.90069563,Stressed,0.005,0.945
6,Fri,Night,Happy,3.22,0,Stressed,0.005949942,0.91555022,Stressed,0.001,0.98
7,Sat,Night,Happy,4.51,0,Happy,0.866319845,0.035101707,Happy,0.801,0.036
8,Sun,Night,Stressed,0,0.66,Stressed,0.00018841,0.982688299,Happy,0.913,0.021
9,Mon,Night,Happy,3.07,0.96,Stressed,0.070951367,0.849819297,Happy,0.829,0.026
10,Tue,Night,Happy,0.26,0.05,Stressed,0.00535844,0.709009486,Stressed,0.002,0.946
11,Wed,Night,N.A,0,0,0,0,0,0,0,0
