Day,Time,Mood,Happiness_Qualifier,Happiness_Disqualifier,Sadness_Qualifier,Sadness_Disqualifier,Anger_Qualifier,Anger_Disqualifier,Fear_Qualifier,Fear_Disqualifier
Sun,9,Happy,3.34,0.59,0,0.65,0,3.79,3.37,0
Sun,15,Stressed,0.07,2.77,2.56,0,0,4.01,3.32,0
Sun,21,Happy,3.06,1.16,0.67,0.77,0,3.65,3.39,0.35
Mon,9,Happy,4.22,0.66,0,3.32,0,3.66,3.94,2.19
Mon,15,Happy,2.69,1.49,0.39,0.56,0,3.39,2.36,0.59
Mon,21,Happy,2.28,1.32,0,2.92,0,3.09,3.31,0
Tue,9,Stressed,0,0.38,0,0.41,0,3.19,1.53,0
Tue,15,Happy,0.35,0,0.54,0.48,0,3.37,3.56,0
Tue,21,Happy,0.26,0,0.41,0.69,0,2.97,2.15,0
Wed,9,Stressed,0,0.36,2.98,0.03,0,3.39,1.9,0
Wed,15,Stressed,0.18,0.7,0.41,0.37,0,3.82,3.78,0
Wed,21,Stressed,0,0.84,0.27,0.75,0,3.51,1.95,0
Thu,9,Happy,2.44,1.92,0.39,0.48,0,1.42,1.6,0
Thu,15,Happy,5.13,0.41,0,4.11,0,0.95,1.09,2.28
Thu,21,Happy,7.73,0,0,4.62,0,1.02,1.01,4.8
Fri,9,Happy,3.55,1.06,0.81,0.64,0,2.75,1.62,0.75
Fri,15,Happy,3.02,0.8,0.29,0.88,0,2.97,3.39,0
Fri,21,Happy,3.22,0,0,0.27,0,2.3,1.1,0.05
Sat,9,Happy,0.02,0,0.1,0.64,0,4,4.16,0
Sat,15,Happy,2.45,0.18,0,3.05,0,3.44,1.95,0.57
Sat,21,Happy,4.51,0,0,3.02,0,2.78,2.45,2.01
Sun,9,Stressed,0.16,0.16,0.25,0.52,0,4.29,4.24,0
Sun,15,Stressed,0,0.56,0.02,0.26,0,3.67,1.97,0
Sun,21,Stressed,0,0.66,0.05,0.45,0,4.09,3.86,0
Mon,9,Stressed,0,0.07,0,0.67,0,4.05,2.59,0.09
Mon,15,Happy,2.74,0.96,0.61,0.48,0,2.91,1.69,0.25
Mon,21,Happy,3.07,0.96,0.75,0.78,0,3.91,2.85,0
Tue,9,Happy,3.5,0,0.63,0.64,0,1.68,2.33,0
Tue,15,Happy,0.51,0.03,0,0.7,0,3.75,2.57,0
Tue,21,Happy,0.26,0.05,0,1.06,0,4.03,3.02,0.23
